date, pm10, o3, no2, so2, co
2021/10/1, 14, 34, 6, , 
2021/10/2, 18, 15, 4, , 
2021/10/3, 12, , , , 
2021/9/1, 10, 33, 4, , 
2021/9/2, 11, 32, 6, , 
2021/9/3, 16, 36, 6, , 
2021/9/4, 16, 40, 6, , 
2021/9/5, 19, 40, 5, , 
2021/9/6, 13, 40, 3, , 
2021/9/7, 17, 36, 3, , 
2021/9/8, 17, 47, 3, , 
2021/9/9, 17, 46, 2, , 
2021/9/10, 16, 31, 2, , 
2021/9/11, 12, 34, 2, , 
2021/9/12, 9, 32, 3, , 
2021/9/13, 16, 36, 5, , 
2021/9/14, 14, 23, 8, , 
2021/9/15, 17, 21, 5, , 
2021/9/16, 9, 29, 7, , 
2021/9/17, 7, 34, 5, , 
2021/9/18, 10, 27, 5, , 
2021/9/19, 7, 25, 4, , 
2021/9/20, 9, 27, 6, , 
2021/9/21, 14, 27, 8, , 
2021/9/22, 18, 30, 5, , 
2021/9/23, 8, 38, 6, , 
2021/9/24, 13, 36, 7, , 
2021/9/25, 10, 35, 6, , 
2021/9/26, 17, 34, 6, , 
2021/9/27, 11, 24, 4, , 
2021/9/28, 10, 30, 4, , 
2021/9/29, 8, 27, 4, , 
2021/9/30, 7, 17, 6, , 
2021/8/1, 7, 33, 2, , 
2021/8/2, 7, 33, 3, , 
2021/8/3, 7, 27, 2, , 
2021/8/4, 7, 30, 2, , 
2021/8/5, 4, 32, 3, , 
2021/8/6, 7, 32, 4, , 
2021/8/7, 9, 25, 1, , 
2021/8/8, 4, 28, 3, , 
2021/8/9, 10, 37, 4, , 
2021/8/10, 10, 40, 5, , 
2021/8/11, 17, 49, 6, , 
2021/8/12, 22, 48, 5, , 
2021/8/13, 24, 54, 5, , 
2021/8/14, 23, 49, 5, , 
2021/8/15, 26, 30, 3, , 
2021/8/16, 17, 33, 2, , 
2021/8/17, 6, 28, 3, , 
2021/8/18, 13, 29, 4, , 
2021/8/19, 7, 35, 6, , 
2021/8/20, 11, 39, 6, , 
2021/8/21, 17, 34, 2, , 
2021/8/22, 9, 29, 2, , 
2021/8/23, 4, 26, 2, , 
2021/8/24, 10, 36, 3, , 
2021/8/25, 8, 29, 5, , 
2021/8/26, 12, 25, 3, , 
2021/8/27, 6, 21, 3, , 
2021/8/28, 9, 25, 2, , 
2021/8/29, 6, 18, 4, , 
2021/8/30, 4, 31, 4, , 
2021/8/31, 8, 35, 4, , 
2021/7/1, 8, 37, 5, , 
2021/7/2, 15, 44, 4, , 
2021/7/3, 11, 33, 1, , 
2021/7/4, 9, 27, 2, , 
2021/7/5, 8, 33, 3, , 
2021/7/6, 7, 25, 3, , 
2021/7/7, 9, 30, 5, , 
2021/7/8, 16, 25, 3, , 
2021/7/9, 6, 37, 3, , 
2021/7/10, 10, 31, 1, , 
2021/7/11, 5, 33, 4, , 
2021/7/12, 9, 24, 5, , 
2021/7/13, 6, 22, 4, , 
2021/7/14, 5, 26, 3, , 
2021/7/15, 7, 38, 4, , 
2021/7/16, 7, 22, 7, , 
2021/7/17, 22, 30, 3, , 
2021/7/18, 15, 32, 4, , 
2021/7/19, 14, 40, 4, , 
2021/7/20, 19, 49, 6, , 
2021/7/21, 18, 53, 6, , 
2021/7/22, 21, 61, 6, , 
2021/7/23, 20, 47, 5, , 
2021/7/24, 25, 40, 2, , 
2021/7/25, 10, 40, 4, , 
2021/7/26, 8, 39, 3, , 
2021/7/27, 10, 28, 5, , 
2021/7/28, 11, 39, 3, , 
2021/7/29, 15, 45, 5, , 
2021/7/30, 14, 29, 2, , 
2021/7/31, 9, 30, 2, , 
2021/6/1, 10, 48, 7, , 
2021/6/2, 16, 53, 7, , 
