date, pm10, o3, no2, so2, co
2021/10/1, 15, 35, 18, , 
2021/10/2, 15, 19, 14, , 
2021/10/3, 11, , , , 
2021/9/1, 16, 34, 15, , 
2021/9/2, 14, 33, 18, , 
2021/9/3, 17, 38, 21, , 
2021/9/4, 21, 41, 20, , 
2021/9/5, 19, 40, 25, , 
2021/9/6, 23, 41, 22, , 
2021/9/7, 22, 36, 17, , 
2021/9/8, 21, 44, 38, , 
2021/9/9, 24, 48, 33, , 
2021/9/10, 26, 30, 28, , 
2021/9/11, 18, 34, 19, , 
2021/9/12, 13, 36, 22, , 
2021/9/13, 17, 35, 21, , 
2021/9/14, 18, 23, 26, , 
2021/9/15, 27, 20, 26, , 
2021/9/16, 18, 29, 28, , 
2021/9/17, 14, 31, 24, , 
2021/9/18, 15, 28, 13, , 
2021/9/19, 16, 24, 16, , 
2021/9/20, 10, 25, 23, , 
2021/9/21, 16, 29, 26, , 
2021/9/22, 19, 27, 25, , 
2021/9/23, 15, 36, 32, , 
2021/9/24, 21, 37, 23, , 
2021/9/25, 17, 35, 21, , 
2021/9/26, 22, 31, 32, , 
2021/9/27, 22, 22, 20, , 
2021/9/28, 15, 27, 26, , 
2021/9/29, 14, 25, 23, , 
2021/9/30, 12, 18, 22, , 
2021/8/1, 10, 31, 24, , 
2021/8/2, 12, 30, 24, , 
2021/8/3, 13, 26, 20, , 
2021/8/4, 10, 27, 28, , 
2021/8/5, 12, 30, 25, , 
2021/8/6, 13, 33, 16, , 
2021/8/7, 13, 23, 17, , 
2021/8/8, 7, 30, 20, , 
2021/8/9, 13, 35, 29, , 
2021/8/10, 20, 38, 32, , 
2021/8/11, 23, 57, 28, , 
2021/8/12, 29, 44, 34, , 
2021/8/13, 27, 54, 24, , 
2021/8/14, 27, 52, 21, , 
2021/8/15, 28, 27, 24, , 
2021/8/16, 20, 31, 21, , 
2021/8/17, 9, 27, 25, , 
2021/8/18, 15, 29, 21, , 
2021/8/19, 11, 36, 24, , 
2021/8/20, 16, 40, 24, , 
2021/8/21, 18, 32, 19, , 
2021/8/22, 15, 28, 21, , 
2021/8/23, 10, 25, 13, , 
2021/8/24, 10, 36, 12, , 
2021/8/25, 11, 28, 27, , 
2021/8/26, 19, 23, 22, , 
2021/8/27, 10, 19, 19, , 
2021/8/28, 9, 22, 18, , 
2021/8/29, 7, 17, 22, , 
2021/8/30, 10, 29, 26, , 
2021/8/31, 16, 33, 19, , 
2021/7/1, 16, 37, 26, , 
2021/7/2, 17, 45, 22, , 
2021/7/3, 16, 33, 16, , 
2021/7/4, 12, 25, 26, , 
2021/7/5, 10, 34, 20, , 
2021/7/6, 14, 24, 20, , 
2021/7/7, 12, 26, 22, , 
2021/7/8, 20, 25, 25, , 
2021/7/9, 12, 38, 13, , 
2021/7/10, 14, 30, 14, , 
2021/7/11, 7, 34, 14, , 
2021/7/12, 10, 22, 24, , 
2021/7/13, 17, 20, 25, , 
2021/7/14, 15, 22, 26, , 
2021/7/15, 11, 39, 26, , 
2021/7/16, 11, 23, 23, , 
2021/7/17, 28, 30, 20, , 
2021/7/18, 18, 31, 20, , 
2021/7/19, 17, 40, 27, , 
2021/7/20, 24, 48, 29, , 
2021/7/21, 23, 55, 29, , 
2021/7/22, 26, 63, 26, , 
2021/7/23, 26, 47, 24, , 
2021/7/24, 26, 38, 16, , 
2021/7/25, 11, 41, 23, , 
2021/7/26, 16, 39, 21, , 
2021/7/27, 14, 24, 30, , 
2021/7/28, 16, 36, 32, , 
2021/7/29, 19, 42, 33, , 
2021/7/30, 23, 29, 23, , 
2021/7/31, 13, 29, 17, , 
2021/6/1, 14, 52, 38, , 
2021/6/2, 21, 59, 26, , 
2021/6/3, 24, 21, 29, , 
2021/6/4, 20, 40, 20, , 
2021/6/5, 15, 32, 16, , 
2021/6/6, 8, 40, 19, , 
2021/6/7, 11, 47, 23, , 
2021/6/8, 21, 40, 30, , 
2021/6/9, 26, 45, 24, , 
2021/6/10, 20, 46, 34, , 
2021/6/11, 19, 47, 29, , 
2021/6/12, 22, 38, 19, , 
2021/6/13, 15, 40, 16, , 
2021/6/14, 14, 44, 36, , 
2021/6/15, 21, 49, 25, , 
2021/6/16, 21, 62, 41, , 
2021/6/17, 25, 72, 44, , 
2021/6/18, 32, 68, 25, , 
2021/6/19, 31, 41, 14, , 
2021/6/20, 35, 46, 27, , 
2021/6/21, 26, 36, 21, , 
2021/6/22, 17, 40, 16, , 
2021/6/23, 15, 38, 31, , 
2021/6/24, 14, 29, 25, , 
2021/6/25, 12, 39, 12, , 
2021/6/26, 13, 42, 11, , 
2021/6/27, 9, 44, 17, , 
2021/6/28, 15, 36, 20, , 
2021/6/29, 13, 27, 26, , 
2021/6/30, 10, 22, 23, , 
2021/5/1, 20, 35, 16, , 
2021/5/2, 12, 38, 32, , 
2021/5/3, 16, 38, 28, , 
2021/5/4, 16, 34, 25, , 
2021/5/5, 13, 31, 28, , 
2021/5/6, 15, 30, 26, , 
2021/5/7, 11, 38, 22, , 
2021/5/8, 12, 39, 13, , 
2021/5/9, 10, 37, 32, , 
2021/5/10, 19, 33, 23, , 
2021/5/11, 21, 29, 25, , 
2021/5/12, 12, 27, 19, , 
2021/5/13, 11, 32, 29, , 
2021/5/14, 10, 34, 18, , 
2021/5/15, 10, 34, 15, , 
2021/5/16, 7, 27, 22, , 
2021/5/17, 10, 28, 25, , 
2021/5/18, 10, 30, 28, , 
2021/5/19, 14, 31, 29, , 
