date, pm10, o3, no2, so2, co
2021/10/1, 9, 35, 8, , 
2021/10/2, 11, 19, 7, , 
2021/10/3, 10, , , , 
2021/9/1, 11, 34, 7, , 
2021/9/2, 12, 33, 7, , 
2021/9/3, 13, 38, 11, , 
2021/9/4, 16, 41, 10, , 
2021/9/5, 15, 40, 13, , 
2021/9/6, 19, 41, 13, , 
2021/9/7, 18, 36, 8, , 
2021/9/8, 18, 44, 11, , 
2021/9/9, 16, 48, 10, , 
2021/9/10, 18, 30, 7, , 
2021/9/11, 11, 34, 9, , 
2021/9/12, 11, 36, 10, , 
2021/9/13, 14, 35, 8, , 
2021/9/14, 15, 23, 11, , 
2021/9/15, 21, 20, 8, , 
2021/9/16, 11, 29, 8, , 
2021/9/17, 8, 34, 9, , 
2021/9/18, 10, 28, 6, , 
2021/9/19, 12, 24, 6, , 
2021/9/20, 8, 25, 8, , 
2021/9/21, 13, 29, 11, , 
2021/9/22, 13, 27, 9, , 
2021/9/23, 10, 36, 11, , 
2021/9/24, 13, 37, 9, , 
2021/9/25, 13, 35, 8, , 
2021/9/26, 16, 31, 10, , 
2021/9/27, 12, 22, 6, , 
2021/9/28, 10, 27, 6, , 
2021/9/29, 10, 25, 7, , 
2021/9/30, 5, 18, 10, , 
2021/8/1, 6, 31, 4, , 
2021/8/2, 8, 30, 6, , 
2021/8/3, 8, 26, 5, , 
2021/8/4, 6, 27, 6, , 
2021/8/5, 6, 30, 6, , 
2021/8/6, 8, 33, 6, , 
2021/8/7, 8, 23, 3, , 
2021/8/8, 3, 30, 7, , 
2021/8/9, 7, 35, 8, , 
2021/8/10, 11, 38, 9, , 
2021/8/11, 16, 57, 9, , 
2021/8/12, 23, 44, 8, , 
2021/8/13, 20, 54, 5, , 
2021/8/14, 22, 52, 6, , 
2021/8/15, 23, 27, 5, , 
2021/8/16, 12, 31, 3, , 
2021/8/17, 6, 27, 6, , 
2021/8/18, 11, 29, 6, , 
2021/8/19, 8, 36, 7, , 
2021/8/20, 7, 40, 9, , 
2021/8/21, 14, 32, 4, , 
2021/8/22, 11, 28, 4, , 
2021/8/23, 6, 25, 3, , 
2021/8/24, 6, 36, 5, , 
2021/8/25, 10, 28, 8, , 
2021/8/26, 14, 23, 5, , 
2021/8/27, 6, 19, 5, , 
2021/8/28, 6, 22, 5, , 
2021/8/29, 5, 17, 6, , 
2021/8/30, 4, 29, 6, , 
2021/8/31, 9, 33, 7, , 
2021/7/1, 4, 37, 5, , 
2021/7/2, 9, 45, 6, , 
2021/7/3, 11, 33, 3, , 
2021/7/4, 8, 25, 5, , 
2021/7/5, 5, 34, 5, , 
2021/7/6, 11, 24, 6, , 
2021/7/7, 10, 26, 7, , 
2021/7/8, 12, 25, 5, , 
2021/7/9, 4, 38, 6, , 
2021/7/10, 11, 30, 2, , 
2021/7/11, 6, 34, 6, , 
2021/7/12, 9, 22, 7, , 
2021/7/13, 10, 20, 6, , 
2021/7/14, 3, 22, 6, , 
2021/7/15, 4, 39, 5, , 
2021/7/16, 7, 23, 5, , 
2021/7/17, 18, 30, 2, , 
2021/7/18, 13, 31, 5, , 
2021/7/19, 14, 40, 5, , 
2021/7/20, 17, 48, 8, , 
2021/7/21, 19, 55, 10, , 
2021/7/22, 20, 63, 9, , 
2021/7/23, 21, 47, 6, , 
2021/7/24, 21, 38, 3, , 
2021/7/25, 8, 41, 7, , 
2021/7/26, 11, 39, 5, , 
2021/7/27, 10, 24, 8, , 
2021/7/28, 11, 36, 7, , 
2021/7/29, 9, 42, 9, , 
2021/7/30, 15, 29, 3, , 
2021/7/31, 8, 29, 3, , 
2021/6/1, 10, 52, 9, , 
2021/6/2, 13, 59, 11, , 
2021/6/3, 16, 21, 11, , 
2021/6/4, 10, 40, 4, , 
2021/6/5, 9, 32, 3, , 
2021/6/6, 3, 40, 6, , 
2021/6/7, 8, 47, 6, , 
2021/6/8, 14, 40, 7, , 
2021/6/9, 16, 45, 5, , 
2021/6/10, 13, 46, 6, , 
2021/6/11, 10, 47, 5, , 
2021/6/12, 14, 38, 1, , 
2021/6/13, 9, 40, 5, , 
2021/6/14, 10, 44, 10, , 
2021/6/15, 16, 49, 12, , 
2021/6/16, 22, 62, 10, , 
2021/6/17, 21, 72, 14, , 
2021/6/18, 26, 68, 8, , 
2021/6/19, 26, 41, 6, , 
2021/6/20, 29, 46, 5, , 
2021/6/21, 16, 36, 6, , 
2021/6/22, 6, 40, 4, , 
2021/6/23, 7, 38, 5, , 
2021/6/24, 6, 29, 4, , 
2021/6/25, 4, 39, 4, , 
2021/6/26, 9, 42, 4, , 
2021/6/27, 9, 44, 6, , 
2021/6/28, 16, 36, 5, , 
2021/6/29, 9, 27, 6, , 
2021/6/30, 2, 22, 5, , 
2021/5/1, 13, 35, 4, , 
2021/5/2, 7, 38, 9, , 
2021/5/3, 8, 38, 8, , 
2021/5/4, 9, 34, 5, , 
2021/5/5, 5, 31, 7, , 
2021/5/6, 7, 30, 7, , 
2021/5/7, 5, 38, 6, , 
2021/5/8, 9, 39, 5, , 
2021/5/9, 8, 37, 7, , 
2021/5/10, 16, 33, 8, , 
2021/5/11, 10, 29, 7, , 
2021/5/12, 3, 27, 5, , 
2021/5/13, 5, 32, 5, , 
2021/5/14, 4, 34, 3, , 
2021/5/15, 5, 34, 3, , 
2021/5/16, 4, 27, 5, , 
2021/5/17, 5, 28, 5, , 
2021/5/18, 4, 30, 6, , 
2021/5/19, 6, 31, 6, , 
2021/5/20, 5, 30, 8, , 
2021/5/21, 6, 36, 3, , 
2021/5/22, 5, 32, 4, , 
