date, pm10, o3, no2, so2, co
2021/10/1, 16, 35, 19, , 
2021/10/2, 17, 16, 15, , 
2021/10/3, 13, , , , 
2021/9/1, 17, 34, 17, , 
2021/9/2, 16, 33, 19, , 
2021/9/3, 18, 38, 22, , 
2021/9/4, 22, 41, 20, , 
2021/9/5, 20, 40, 26, , 
2021/9/6, 24, 41, 23, , 
2021/9/7, 23, 36, 18, , 
2021/9/8, 22, 44, 38, , 
2021/9/9, 24, 48, 33, , 
2021/9/10, 25, 30, 28, , 
2021/9/11, 18, 34, 19, , 
2021/9/12, 13, 36, 23, , 
2021/9/13, 18, 35, 21, , 
2021/9/14, 18, 23, 26, , 
2021/9/15, 27, 20, 26, , 
2021/9/16, 18, 29, 28, , 
2021/9/17, 13, 34, 24, , 
2021/9/18, 15, 28, 13, , 
2021/9/19, 16, 24, 16, , 
2021/9/20, 11, 25, 23, , 
2021/9/21, 17, 29, 26, , 
2021/9/22, 19, 27, 24, , 
2021/9/23, 15, 36, 31, , 
2021/9/24, 21, 36, 23, , 
2021/9/25, 18, 35, 20, , 
2021/9/26, 22, 30, 31, , 
2021/9/27, 21, 22, 20, , 
2021/9/28, 15, 27, 26, , 
2021/9/29, 14, 25, 23, , 
2021/9/30, 11, 18, 22, , 
2021/8/1, 10, 31, 23, , 
2021/8/2, 12, 30, 24, , 
2021/8/3, 13, 26, 20, , 
2021/8/4, 10, 27, 27, , 
2021/8/5, 12, 30, 25, , 
2021/8/6, 14, 33, 16, , 
2021/8/7, 14, 23, 16, , 
2021/8/8, 7, 30, 20, , 
2021/8/9, 13, 35, 27, , 
2021/8/10, 20, 38, 32, , 
2021/8/11, 22, 57, 28, , 
2021/8/12, 29, 43, 31, , 
2021/8/13, 27, 54, 24, , 
2021/8/14, 27, 52, 21, , 
2021/8/15, 29, 27, 24, , 
2021/8/16, 20, 30, 21, , 
2021/8/17, 9, 27, 25, , 
2021/8/18, 15, 29, 21, , 
2021/8/19, 12, 36, 24, , 
2021/8/20, 16, 40, 24, , 
2021/8/21, 19, 32, 19, , 
2021/8/22, 13, 28, 21, , 
2021/8/23, 9, 25, 13, , 
2021/8/24, 9, 36, 13, , 
2021/8/25, 13, 28, 27, , 
2021/8/26, 19, 23, 22, , 
2021/8/27, 10, 19, 19, , 
2021/8/28, 9, 22, 18, , 
2021/8/29, 8, 17, 22, , 
2021/8/30, 11, 29, 25, , 
2021/8/31, 16, 33, 20, , 
2021/7/1, 14, 37, 26, , 
2021/7/2, 18, 45, 22, , 
2021/7/3, 18, 33, 16, , 
2021/7/4, 13, 25, 26, , 
2021/7/5, 12, 34, 20, , 
2021/7/6, 15, 24, 20, , 
2021/7/7, 13, 26, 22, , 
2021/7/8, 21, 25, 25, , 
2021/7/9, 11, 38, 13, , 
2021/7/10, 16, 30, 14, , 
2021/7/11, 9, 34, 14, , 
2021/7/12, 13, 22, 24, , 
2021/7/13, 19, 20, 22, , 
2021/7/14, 15, 22, 26, , 
2021/7/15, 11, 39, 26, , 
2021/7/16, 13, 23, 22, , 
2021/7/17, 30, 30, 20, , 
2021/7/18, 19, 31, 20, , 
2021/7/19, 18, 40, 27, , 
2021/7/20, 24, 48, 29, , 
2021/7/21, 24, 55, 29, , 
2021/7/22, 26, 61, 26, , 
2021/7/23, 28, 47, 24, , 
2021/7/24, 26, 38, 16, , 
2021/7/25, 11, 41, 23, , 
2021/7/26, 16, 39, 21, , 
2021/7/27, 15, 24, 29, , 
2021/7/28, 17, 36, 31, , 
2021/7/29, 19, 42, 33, , 
2021/7/30, 22, 29, 23, , 
2021/7/31, 13, 29, 17, , 
2021/6/1, 18, 52, 38, , 
2021/6/2, 32, 59, 26, , 
2021/6/3, 25, 46, 32, , 
2021/6/4, 25, 40, 20, , 
2021/6/5, 16, 32, 15, , 
2021/6/6, 7, 40, 18, , 
2021/6/7, 14, 47, 24, , 
2021/6/8, 21, 40, 29, , 
2021/6/9, 28, 45, 23, , 
2021/6/10, 21, 46, 34, , 
2021/6/11, 19, 47, 27, , 
2021/6/12, 22, 38, 19, , 
2021/6/13, 14, 39, 17, , 
2021/6/14, 17, 44, 34, , 
2021/6/15, 22, 49, 26, , 
2021/6/16, 26, 62, 41, , 
2021/6/17, 28, 72, 44, , 
2021/6/18, 35, 68, 25, , 
2021/6/19, 31, 41, 15, , 
2021/6/20, 35, 46, 25, , 
2021/6/21, 26, 36, 21, , 
2021/6/22, 17, 40, 15, , 
2021/6/23, 15, 38, 30, , 
2021/6/24, 10, 29, 25, , 
2021/6/25, 13, 39, 12, , 
2021/6/26, 14, 42, 11, , 
2021/6/27, 11, 44, 18, , 
2021/6/28, 19, 36, 21, , 
2021/6/29, 13, 27, 26, , 
2021/6/30, 9, 22, 23, , 
2021/5/1, 20, 35, 16, , 
2021/5/2, 12, 38, 31, , 
2021/5/3, 17, 38, 27, , 
2021/5/4, 22, 34, 25, , 
2021/5/5, 13, 31, 28, , 
2021/5/6, 17, 30, 25, , 
2021/5/7, 11, 38, 22, , 
2021/5/8, 13, 39, 13, , 
2021/5/9, 13, 37, 31, , 
2021/5/10, 20, 33, 23, , 
2021/5/11, 22, 29, 25, , 
2021/5/12, 12, 27, 19, , 
2021/5/13, 11, 32, 29, , 
2021/5/14, 9, 34, 18, , 
2021/5/15, 10, 34, 15, , 
2021/5/16, 7, 27, 22, , 
2021/5/17, 11, 28, 25, , 
2021/5/18, 12, 30, 28, , 
2021/5/19, 14, 31, 29, , 
2021/5/20, 13, 30, 33, , 
2021/5/21, 17, 36, 20, , 
2021/5/22, 9, 32, 21, , 
2021/5/23, 9, 26, 15, , 
2021/5/24, 10, 31, 22, , 
2021/5/25, 12, 27, 26, , 
2021/5/26, 17, 32, 27, , 
2021/5/27, 11, 34, 23, , 
2021/5/28, 15, 38, 17, , 
2021/5/29, 11, 38, 17, , 
2021/5/30, 14, 38, 14, , 
2021/5/31, 12, 43, 17, , 
2021/4/1, 34, 30, 13, , 
2021/4/2, 29, 32, 16, , 
2021/4/3, 11, 36, 19, , 
2021/4/4, 15, 37, 11, , 
2021/4/5, 15, 27, 20, , 
2021/4/6, 14, 29, 18, , 
2021/4/7, 13, 30, 24, , 
2021/4/8, 24, 37, 33, , 
2021/4/9, 26, 41, 23, , 
2021/4/10, 21, 38, 24, , 
2021/4/11, 14, 26, 22, , 
2021/4/12, 15, 29, 26, , 
2021/4/13, 23, 30, 23, , 
2021/4/14, 20, 33, 24, , 
2021/4/15, 23, 30, 19, , 
2021/4/16, 17, 30, 22, , 
2021/4/17, 22, 24, 16, , 
2021/4/18, 22, 27, 24, , 
2021/4/19, 26, 29, 27, , 
2021/4/20, 32, 38, 26, , 
2021/4/21, 27, 37, 29, , 
2021/4/22, 28, 38, 30, , 
2021/4/23, 23, 43, 32, , 
2021/4/24, 27, 40, 21, , 
2021/4/25, 23, 40, 13, , 
2021/4/26, 18, 39, 12, , 
2021/4/27, 27, 45, 21, , 
2021/4/28, 28, 36, 30, , 
2021/4/29, 22, 35, 17, , 
2021/4/30, 23, 28, 13, , 
2021/2/1, 16, 22, 24, , 
2021/2/2, 8, 30, 20, , 
2021/2/3, 10, 28, 23, , 
2021/2/4, 17, 14, 25, , 
2021/2/5, 31, 5, 16, , 
2021/2/6, 29, 4, 12, , 
2021/2/7, 21, 24, 28, , 
2021/2/8, 21, 16, 18, , 
2021/2/9, 31, 19, 19, , 
2021/2/10, 31, 24, 23, , 
2021/2/11, 19, 26, 14, , 
2021/2/12, 19, 28, 10, , 
2021/2/13, 21, 25, 14, , 
2021/2/14, 29, 21, 32, , 
2021/2/15, 68, 21, 34, , 
2021/2/16, 24, 19, 16, , 
2021/2/17, 12, , , , 
2021/1/4, 32, 15, 23, , 
2021/1/5, 37, 9, 16, , 
2021/1/6, 29, 7, 21, , 
2021/1/7, 18, 14, 23, , 
2021/1/8, 23, 12, 16, , 
2021/1/9, 29, 8, 16, , 
2021/1/10, 26, 4, 25, , 
2021/1/11, 41, 25, 19, , 
2021/1/12, 19, 24, 26, , 
2021/1/13, 14, 22, 24, , 
2021/1/14, 11, 11, 22, , 
2021/1/15, 23, 15, 21, , 
2021/1/16, 30, 14, 23, , 
2021/1/17, 24, 25, 23, , 
2021/1/18, 11, 29, 26, , 
2021/1/19, 18, 23, 38, , 
2021/1/20, 34, 20, 45, , 
2021/1/21, 60, 21, 30, , 
2021/1/22, 33, 21, 20, , 
2021/1/23, 21, 28, 14, , 
2021/1/24, 16, 17, 30, , 
2021/1/25, 22, 26, 21, , 
2021/1/26, 15, 22, 33, , 
2021/1/27, 15, 19, 20, , 
2021/1/28, 11, 27, 15, , 
2021/1/29, 6, 27, 16, , 
2021/1/30, 10, 19, 9, , 
2021/1/31, 15, 22, 19, , 
2020/10/1, 20, 21, 16, , 
2020/10/2, 14, 30, 13, , 
2020/10/3, 8, 28, 17, , 
2020/10/4, 8, 18, 27, , 
2020/10/5, 12, 15, 24, , 
2020/10/6, 13, 20, 23, , 
2020/10/7, 12, 22, 26, , 
2020/10/8, 13, 19, 26, , 
2020/10/9, 20, 17, 23, , 
2020/10/10, 16, 23, 19, , 
2020/10/11, 11, 14, 26, , 
2020/10/12, 18, 11, 23, , 
2020/10/13, 20, 15, 25, , 
2020/10/14, 19, 10, 20, , 
2020/10/15, 17, 12, 22, , 
2020/10/16, 13, 15, 21, , 
2020/10/17, 17, 19, 19, , 
2020/10/18, 17, 17, 18, , 
2020/10/19, 19, 5, 25, , 
2020/10/20, 21, 7, 29, , 
2020/10/21, 35, 4, 30, , 
2020/10/22, 32, 19, 26, , 
2020/10/23, 28, 18, 23, , 
2020/10/24, 12, 12, 14, , 
2020/10/25, 14, 20, 21, , 
2020/10/26, 13, 19, 25, , 
2020/10/27, 12, 16, 26, , 
2020/10/28, 19, 21, 24, , 
2020/10/29, 12, 17, 23, , 
2020/10/30, 14, 14, 18, , 
2020/10/31, 18, 11, 22, , 
2020/11/1, 18, 15, 25, , 
2020/11/2, 17, 18, 27, , 
2020/11/3, 20, 20, 18, , 
2020/11/4, 15, 14, 14, , 
2020/11/5, 20, 3, 13, , 
2020/11/6, 23, 3, 12, , 
2020/11/7, 14, 2, 13, , 
2020/11/8, 15, 1, 14, , 
2020/11/9, 22, 1, 14, , 
2020/11/10, 23, 1, 15, , 
2020/11/11, 25, 8, 25, , 
2020/11/12, 20, 13, 30, , 
2020/11/13, 23, 14, 22, , 
2020/11/14, 17, 17, 18, , 
2020/11/15, 19, 20, 25, , 
2020/11/16, 18, 18, 27, , 
2020/11/17, 25, 2, 26, , 
2020/11/18, 28, 20, 28, , 
2020/11/19, 25, 21, 24, , 
2020/11/20, 17, 20, 21, , 
2020/11/21, 16, 11, 25, , 
2020/11/22, 19, 9, 25, , 
2020/11/23, 29, 10, 15, , 
2020/11/24, 20, 4, 17, , 
2020/11/25, 25, 1, 21, , 
2020/11/26, 25, 2, 17, , 
2020/11/27, 21, 11, 13, , 
