date, pm10, o3, no2, so2, co
2021/10/1, 13, 30, 12, , 
2021/10/2, 15, 15, 12, , 
2021/10/3, 13, , , , 
2021/9/1, 14, 28, 13, , 
2021/9/2, 14, 28, 14, , 
2021/9/3, 17, 33, 15, , 
2021/9/4, 18, 37, 12, , 
2021/9/5, 16, 34, 19, , 
2021/9/6, 20, 35, 16, , 
2021/9/7, 20, 30, 16, , 
2021/9/8, 21, 36, 16, , 
2021/9/9, 20, 39, 18, , 
2021/9/10, 21, 26, 13, , 
2021/9/11, 14, 31, 10, , 
2021/9/12, 12, 29, 16, , 
2021/9/13, 16, 30, 15, , 
2021/9/14, 17, 19, 16, , 
2021/9/15, 21, 18, 12, , 
2021/9/16, 13, 24, 13, , 
2021/9/17, 10, 29, 13, , 
2021/9/18, 11, 24, 10, , 
2021/9/19, 15, 18, 11, , 
2021/9/20, 10, 24, 14, , 
2021/9/21, 15, 23, 16, , 
2021/9/22, 17, 23, 13, , 
2021/9/23, 14, 29, 17, , 
2021/9/24, 19, 31, 14, , 
2021/9/25, 17, 30, 13, , 
2021/9/26, 21, 26, 15, , 
2021/9/27, 15, 19, 11, , 
2021/9/28, 11, 21, 12, , 
2021/9/29, 13, 22, 11, , 
2021/9/30, 7, 15, 14, , 
2021/8/1, 6, 26, 9, , 
2021/8/2, 11, 24, 11, , 
2021/8/3, 10, 21, 10, , 
2021/8/4, 7, 21, 12, , 
2021/8/5, 8, 23, 12, , 
2021/8/6, 11, 28, 10, , 
2021/8/7, 12, 20, 6, , 
2021/8/8, 6, 25, 9, , 
2021/8/9, 11, 29, 12, , 
2021/8/10, 16, 32, 14, , 
2021/8/11, 18, 44, 16, , 
2021/8/12, 25, 36, 16, , 
2021/8/13, 25, 50, 12, , 
2021/8/14, 25, 48, 9, , 
2021/8/15, 28, 21, 12, , 
2021/8/16, 15, 27, 7, , 
2021/8/17, 5, 21, 10, , 
2021/8/18, 13, 23, 9, , 
2021/8/19, 10, 31, 14, , 
2021/8/20, 13, 35, 13, , 
2021/8/21, 17, 29, 8, , 
2021/8/22, 13, 25, 8, , 
2021/8/23, 7, 22, 8, , 
2021/8/24, 8, 32, 10, , 
2021/8/25, 12, 24, 13, , 
2021/8/26, 17, 19, 10, , 
2021/8/27, 8, 16, 9, , 
2021/8/28, 7, 19, 8, , 
2021/8/29, 7, 14, 11, , 
2021/8/30, 9, 23, 13, , 
2021/8/31, 13, 28, 13, , 
2021/7/1, 10, 30, 11, , 
2021/7/2, 15, 39, 11, , 
2021/7/3, 16, 29, 7, , 
2021/7/4, 10, 19, 10, , 
2021/7/5, 10, 27, 10, , 
2021/7/6, 13, 19, 12, , 
2021/7/7, 10, 24, 11, , 
2021/7/8, 19, 21, 11, , 
2021/7/9, 7, 33, 9, , 
2021/7/10, 14, 27, 6, , 
2021/7/11, 7, 30, 10, , 
2021/7/12, 11, 17, 13, , 
2021/7/13, 17, 15, 11, , 
2021/7/14, 9, 17, 11, , 
2021/7/15, 7, 32, 12, , 
2021/7/16, 11, 18, 11, , 
2021/7/17, 26, 25, 7, , 
2021/7/18, 17, 26, 11, , 
2021/7/19, 17, 34, 11, , 
2021/7/20, 21, 42, 15, , 
2021/7/21, 22, 45, 16, , 
2021/7/22, 24, 49, 17, , 
2021/7/23, 26, 40, 12, , 
2021/7/24, 26, 35, 7, , 
2021/7/25, 9, 32, 13, , 
2021/7/26, 13, 32, 11, , 
2021/7/27, 12, 21, 12, , 
2021/7/28, 13, 27, 13, , 
2021/7/29, 13, 33, 15, , 
2021/7/30, 19, 24, 8, , 
2021/7/31, 10, 27, 6, , 
2021/6/1, 17, 42, 17, , 
2021/6/2, 31, 52, 12, , 
2021/6/3, 24, 36, 16, , 
2021/6/4, 21, 36, 7, , 
2021/6/5, 12, 30, 3, , 
2021/6/6, 3, 35, 11, , 
2021/6/7, 12, 39, 13, , 
2021/6/8, 19, 34, 16, , 
2021/6/9, 26, 35, 14, , 
2021/6/10, 20, 37, 14, , 
2021/6/11, 16, 38, 15, , 
2021/6/12, 20, 35, 5, , 
2021/6/13, 12, 34, 13, , 
2021/6/14, 16, 34, 20, , 
2021/6/15, 21, 40, 18, , 
2021/6/16, 23, 48, 21, , 
2021/6/17, 27, 55, 23, , 
2021/6/18, 31, 55, 13, , 
2021/6/19, 30, 38, 9, , 
2021/6/20, 34, 39, 10, , 
2021/6/21, 25, 30, 11, , 
2021/6/22, 13, 38, 9, , 
2021/6/23, 12, 31, 13, , 
2021/6/24, 9, 25, 10, , 
2021/6/25, 8, 35, 9, , 
2021/6/26, 13, 40, 6, , 
2021/6/27, 11, 39, 11, , 
2021/6/28, 14, 30, 10, , 
2021/6/29, 10, 21, 10, , 
2021/6/30, 6, 21, 11, , 
2021/5/1, 14, 32, 6, , 
2021/5/2, 6, 34, 12, , 
2021/5/3, 13, 36, 13, , 
2021/5/4, 20, 32, 10, , 
2021/5/5, 11, 23, 12, , 
2021/5/6, 16, 28, 10, , 
2021/5/7, 7, 33, 9, , 
2021/5/8, 11, 36, 7, , 
2021/5/9, 12, 30, 15, , 
2021/5/10, 20, 30, 12, , 
2021/5/11, 19, 27, 14, , 
2021/5/12, 7, 25, 6, , 
2021/5/13, 8, 27, 9, , 
2021/5/14, 8, 30, 6, , 
2021/5/15, 8, 30, 4, , 
2021/5/16, 5, 25, 9, , 
2021/5/17, 9, 25, 10, , 
2021/5/18, 10, 28, 11, , 
2021/5/19, 10, 26, 11, , 
2021/5/20, 10, 26, 12, , 
2021/5/21, 9, 32, 6, , 
2021/5/22, 6, 30, 7, , 
2021/5/23, 7, 26, 7, , 
2021/5/24, 7, 25, 9, , 
2021/5/25, 12, 23, 11, , 
2021/5/26, 14, 27, 10, , 
2021/5/27, 8, 29, 10, , 
2021/5/28, 13, 32, 9, , 
2021/5/29, 10, 35, 8, , 
2021/5/30, 11, 35, 11, , 
2021/5/31, 11, 37, 13, , 
2021/4/1, 32, 27, 7, , 
2021/4/2, 26, 28, 8, , 
2021/4/3, 9, 16, 10, , 
2021/4/4, 11, 34, 6, , 
2021/4/5, 13, 27, 11, , 
2021/4/6, 13, 26, 10, , 
2021/4/7, 10, 26, 14, , 
2021/4/8, 20, 30, 19, , 
2021/4/9, 22, 36, 10, , 
2021/4/10, 18, 34, 12, , 
2021/4/11, 12, 26, 11, , 
2021/4/12, 7, 25, 13, , 
2021/4/13, 22, 25, 15, , 
2021/4/14, 16, 29, 14, , 
2021/4/15, 20, 26, 12, , 
2021/4/16, 14, 26, 10, , 
2021/4/17, 18, 21, 8, , 
2021/4/18, 18, 22, 15, , 
2021/4/19, 22, 24, 15, , 
2021/4/20, 30, 35, 15, , 
2021/4/21, 26, 31, 14, , 
2021/4/22, 26, 33, 16, , 
2021/4/23, 20, 38, 14, , 
2021/4/24, 22, 37, 9, , 
2021/4/25, 19, 36, 10, , 
2021/4/26, 17, 37, 10, , 
2021/4/27, 22, 41, 13, , 
2021/4/28, 26, 29, 13, , 
2021/4/29, 19, 30, 9, , 
2021/4/30, 19, 24, 7, , 
2021/3/1, 19, 12, 21, , 
2021/3/2, 31, 2, 22, , 
2021/3/3, 26, 20, 21, , 
2021/3/4, 39, 22, 10, , 
2021/3/5, 12, 26, 7, , 
2021/3/6, 12, 19, 12, , 
2021/3/7, 20, 22, 17, , 
2021/3/8, 20, 19, 16, , 
2021/3/9, 24, 13, 17, , 
2021/3/10, 30, 30, 14, , 
2021/3/11, 14, 27, 11, , 
2021/3/12, 11, 31, 6, , 
2021/3/13, 10, 31, 6, , 
2021/3/14, 5, 19, 15, , 
2021/3/15, 6, 21, 13, , 
2021/3/16, 12, 22, 17, , 
2021/3/17, 11, 21, 15, , 
2021/3/18, 15, 22, 14, , 
2021/3/19, 12, 22, 10, , 
2021/3/20, 10, 24, 9, , 
2021/3/21, 17, 18, 15, , 
2021/3/22, 24, 18, 18, , 
2021/3/23, 28, 22, 22, , 
2021/3/24, 31, 27, 20, , 
2021/3/25, 23, 31, 22, , 
2021/3/26, 27, 26, 10, , 
2021/3/27, 13, 33, 10, , 
2021/3/28, 13, 30, 21, , 
2021/3/29, 32, 31, 20, , 
2021/3/30, 29, 30, 27, , 
2021/3/31, 41, 36, 19, , 
2021/2/1, 13, 22, 12, , 
2021/2/2, 3, 30, 11, , 
2021/2/3, 4, 25, 13, , 
2021/2/4, 12, 12, 18, , 
2021/2/5, 22, 5, 14, , 
2021/2/6, 23, 4, 9, , 
2021/2/7, 18, 23, 13, , 
2021/2/8, 8, 16, 15, , 
2021/2/9, 22, 17, 14, , 
2021/2/10, 27, 21, 14, , 
2021/2/11, 15, 26, 12, , 
2021/2/12, 17, 28, 7, , 
2021/2/13, 18, 23, 11, , 
2021/2/14, 24, 21, 21, , 
2021/2/15, 37, 20, 21, , 
2021/2/16, 13, 18, 18, , 
2021/2/17, 17, 13, 19, , 
2021/2/18, 23, 17, 19, , 
2021/2/19, 17, 17, 16, , 
2021/2/20, 24, 12, 14, , 
2021/2/21, 28, 4, 14, , 
2021/2/22, 32, 10, 26, , 
2021/2/23, 45, 11, 23, , 
2021/2/24, 66, 10, 25, , 
2021/2/25, 69, 18, 20, , 
2021/2/26, 62, 23, 7, , 
2021/2/27, 16, 26, 7, , 
2021/2/28, 13, 23, 14, , 
2021/1/4, 20, 15, 13, , 
2021/1/5, 21, 9, 11, , 
2021/1/6, 20, 5, 14, , 
2021/1/7, 12, 11, 14, , 
2021/1/8, 15, 11, 11, , 
2021/1/9, 18, 8, 13, , 
2021/1/10, 21, 4, 18, , 
2021/1/11, 29, 21, 13, , 
2021/1/12, 13, 23, 15, , 
2021/1/13, 10, 20, 14, , 
2021/1/14, 7, 10, 17, , 
2021/1/15, 20, 13, 14, , 
2021/1/16, 20, 12, 13, , 
2021/1/17, 14, 25, 15, , 
2021/1/18, 8, 29, 14, , 
2021/1/19, 9, 19, 25, , 
2021/1/20, 26, 15, 31, , 
2021/1/21, 38, 17, 20, , 
2021/1/22, 20, 19, 12, , 
2021/1/23, 13, 25, 8, , 
2021/1/24, 11, 16, 19, , 
2021/1/25, 11, 24, 13, , 
2021/1/26, 10, 21, 16, , 
2021/1/27, 7, 19, 11, , 
2021/1/28, 5, 27, 8, , 
2021/1/29, 3, 26, 8, , 
2021/1/30, 8, 18, 6, , 
2021/1/31, 12, 21, 12, , 
2020/10/1, 18, 17, 15, , 
2020/10/2, 12, 28, 9, , 
2020/10/3, 7, 23, 10, , 
2020/10/4, 7, 12, 15, , 
2020/10/5, 8, 13, 12, , 
2020/10/6, 10, 16, 13, , 
2020/10/7, 8, 15, 15, , 
2020/10/8, 10, 12, 15, , 
2020/10/9, 14, 13, 13, , 
2020/10/10, 12, 19, 9, , 
2020/10/11, 7, 9, 15, , 
2020/10/12, 15, 9, 17, , 
2020/10/13, 14, 11, 15, , 
2020/10/14, 17, 9, 15, , 
2020/10/15, 16, 11, 13, , 
2020/10/16, 8, 12, 11, , 
2020/10/17, 15, 18, 9, , 
2020/10/18, 12, 12, 15, , 
2020/10/19, 16, 4, 20, , 
2020/10/20, 19, 5, 22, , 
2020/10/21, 35, 3, 21, , 
2020/10/22, 30, 14, 17, , 
2020/10/23, 25, 16, 11, , 
2020/10/24, 8, 9, 9, , 
2020/10/25, 12, 17, 15, , 
2020/10/26, 9, 18, 12, , 
2020/10/27, 11, 12, 14, , 
2020/10/28, 17, 19, 14, , 
2020/10/29, 10, 15, 14, , 
2020/10/30, 12, 11, 12, , 
2020/10/31, 16, 10, 12, , 
2020/11/1, 14, 10, 17, , 
2020/11/2, 16, 17, 17, , 
2020/11/3, 15, 18, 13, , 
2020/11/4, 13, 12, 12, , 
2020/11/5, 20, 3, 11, , 
2020/11/6, 23, 3, 9, , 
2020/11/7, 12, 2, 10, , 
2020/11/8, 13, , 11, , 
2020/11/9, 19, 1, 11, , 
2020/11/10, 20, , 13, , 
2020/11/11, 24, 6, 15, , 
2020/11/12, 18, 9, 18, , 
2020/11/13, 21, 11, 15, , 
2020/11/14, 16, 14, 12, , 
2020/11/15, 16, 18, 15, , 
2020/11/16, 17, 15, 17, , 
2020/11/17, 23, 3, 20, , 
2020/11/18, 23, 19, 18, , 
2020/11/19, 23, 18, 13, , 
2020/11/20, 15, 15, 16, , 
2020/11/21, 15, 11, 16, , 
2020/11/22, 17, 7, 18, , 
2020/11/23, 23, 9, 12, , 
2020/11/24, 18, 4, 13, , 
2020/11/25, 22, 1, 16, , 
2020/11/26, 21, 1, 14, , 
2020/11/27, 18, 10, 13, , 
2020/11/28, 16, 15, 6, , 
2020/11/29, 15, 7, 14, , 
2020/11/30, 19, 2, 18, , 
2020/12/1, 18, 6, 15, , 
2020/12/2, 31, 6, 16, , 
2020/12/3, 23, 4, 24, , 
2020/12/4, 34, 7, 18, , 
2020/12/5, 26, 10, 13, , 
2020/12/6, 17, 7, 16, , 
2020/12/7, 9, 1, 19, , 
2020/12/8, 19, 1, 17, , 
2020/12/9, 39, 2, 16, , 
2020/12/10, 21, 3, 13, , 
2020/12/11, 14, 9, 14, , 
2020/12/12, 9, 9, 8, , 
2020/12/13, 3, 4, 17, , 
2020/12/14, 11, , 19, , 
2020/12/15, 29, , 11, , 
2020/12/16, 30, 1, 15, , 
2020/12/17, 27, 2, 14, , 
2020/12/18, 24, 1, 12, , 
2020/12/19, 13, 3, 11, , 
2020/12/20, 12, 3, 17, , 
2020/12/21, 16, 19, 9, , 
2020/12/22, 5, 15, 16, , 
2020/12/23, 12, 22, 6, , 
2020/12/24, 5, 21, 5, , 
2020/12/25, 6, 19, 7, , 
2020/12/26, 10, 13, 9, , 
2020/12/27, 9, 15, 20, , 
2020/12/28, 16, 14, 14, , 
2020/12/29, 13, 18, 15, , 
2020/12/30, 21, 13, 13, , 
2020/12/31, 17, 13, 15, , 
2021/1/1, 29, 11, 10, , 
2021/1/2, 22, 11, 9, , 
2021/1/3, 20, 11, 7, , 
2020/7/1, 14, 20, 13, , 
2020/7/2, 10, 23, 13, , 
2020/7/3, 12, 32, 13, , 
2020/7/4, 14, 26, 8, , 
2020/7/5, 8, 26, 11, , 
2020/7/6, 12, 31, 12, , 
2020/7/7, 12, 29, 18, , 
2020/7/8, 18, 25, 20, , 
2020/7/9, 18, 33, 17, , 
2020/7/10, 19, 21, 10, , 
2020/7/11, 10, 35, 6, , 
2020/7/12, 5, 35, 11, , 
2020/7/13, 8, 38, 17, , 
2020/7/14, 15, 33, 17, , 
2020/7/15, 22, 19, 13, , 
2020/7/16, 11, 30, 12, , 
2020/7/17, 10, 29, 13, , 
2020/7/18, 14, 44, 9, , 
2020/7/19, 12, 34, 20, , 
2020/7/20, 17, 34, 21, , 
2020/7/21, 24, 41, 19, , 
2020/7/22, 22, 34, 20, , 
2020/7/23, 25, 35, 17, , 
2020/7/24, 17, 32, 12, , 
2020/7/25, 14, 23, 8, , 
2020/7/26, 12, 26, 11, , 
2020/7/27, 9, 27, 18, , 
2020/7/28, 24, 31, 16, , 
2020/7/29, 15, 45, 18, , 
2020/7/30, 23, 52, 22, , 
2020/7/31, 29, 53, 15, , 
2020/8/1, 28, 37, 9, , 
2020/8/2, 13, 22, 15, , 
2020/8/3, 14, 21, 14, , 
2020/8/4, 8, 27, 11, , 
2020/8/5, 11, 32, 12, , 
2020/8/6, 15, 39, 17, , 
2020/8/7, 24, 45, 20, , 
2020/8/8, 29, 47, 14, , 
2020/8/9, 24, 41, 20, , 
2020/8/10, 30, 44, 16, , 
2020/8/11, 25, 41, 15, , 
2020/8/12, 30, 29, 15, , 
2020/8/13, 22, 31, 13, , 
2020/8/14, 15, 40, 8, , 
2020/8/15, 12, 39, 9, , 
2020/8/16, 12, 29, 15, , 
2020/8/17, 9, 19, 15, , 
2020/8/18, 10, 28, 12, , 
2020/8/19, 6, 32, 14, , 
2020/8/20, 11, 47, 17, , 
2020/8/21, 17, 21, 12, , 
2020/8/22, 13, 24, 8, , 
2020/8/23, 11, 26, 14, , 
2020/8/24, 11, 27, 12, , 
2020/8/25, 11, 25, 13, , 
2020/8/26, 17, 29, 14, , 
2020/8/27, 17, 30, 13, , 
2020/8/28, 14, 19, 9, , 
2020/8/29, 6, 24, 9, , 
2020/8/30, 6, 18, 13, , 
2020/8/31, 7, 19, 14, , 
2020/9/1, 13, 22, 14, , 
2020/9/2, 12, 27, 16, , 
2020/9/3, 11, 26, 15, , 
2020/9/4, 14, 33, 13, , 
2020/9/5, 16, 23, 9, , 
2020/9/6, 15, 13, 17, , 
2020/9/7, 19, 18, 14, , 
2020/9/8, 16, 25, 18, , 
2020/9/9, 15, 29, 18, , 
2020/9/10, 20, 26, 17, , 
2020/9/11, 25, 34, 19, , 
2020/9/12, 23, 39, 11, , 
2020/9/13, 18, 25, 18, , 
2020/9/14, 26, 31, 20, , 
2020/9/15, 26, 39, 23, , 
2020/9/16, 27, 34, 16, , 
2020/9/17, 34, 24, 10, , 
2020/9/18, 13, 20, 13, , 
2020/9/19, 16, 30, 12, , 
2020/9/20, 22, 28, 20, , 
2020/9/21, 24, 28, 17, , 
2020/9/22, 25, 14, 17, , 
2020/9/23, 12, 19, 14, , 
2020/9/24, 13, 22, 13, , 
2020/9/25, 6, 17, 9, , 
2020/9/26, 3, 22, 6, , 
2020/9/27, 4, 6, 15, , 
2020/9/28, 18, 10, 16, , 
2020/9/29, 15, 16, 14, , 
2020/9/30, 17, 11, 18, , 
2020/4/1, 18, 34, 21, , 
2020/4/2, 23, 36, 15, , 
2020/4/3, 25, 37, 10, , 
2020/4/4, 19, 38, 5, , 
2020/4/5, 16, 40, 17, , 
2020/4/6, 32, 46, 20, , 
2020/4/7, 45, 43, 19, , 
2020/4/8, 27, 47, 20, , 
2020/4/9, 25, 53, 11, , 
2020/4/10, 25, 42, 13, , 
2020/4/11, 18, 46, 8, , 
2020/4/12, 16, 44, 4, , 
2020/4/13, 15, 31, 7, , 
2020/4/14, 12, 32, 11, , 
2020/4/15, 18, 37, 19, , 
2020/4/16, 24, 46, 16, , 
2020/4/17, 25, 43, 11, , 
2020/4/18, 30, 40, 4, , 
2020/4/19, 19, 39, 6, , 
2020/4/20, 16, 41, 6, , 
2020/4/21, 17, 40, 8, , 
2020/4/22, 17, 42, 11, , 
2020/4/23, 21, 46, 17, , 
2020/4/24, 23, 51, 8, , 
2020/4/25, 23, 44, 6, , 
2020/4/26, 11, 31, 15, , 
2020/4/27, 16, 30, 14, , 
2020/4/28, 15, 24, 13, , 
2020/4/29, 8, 23, 11, , 
2020/4/30, 8, 28, 5, , 
2020/5/1, 6, 24, 8, , 
2020/5/2, 5, 36, 5, , 
2020/5/3, 6, 21, 15, , 
2020/5/4, 10, 18, 13, , 
2020/5/5, 15, 34, 13, , 
2020/5/6, 10, 34, 20, , 
2020/5/7, 16, 39, 20, , 
2020/5/8, 15, 42, 16, , 
2020/5/9, 20, 35, 7, , 
2020/5/10, 15, 24, 14, , 
2020/5/11, 17, 24, 9, , 
2020/5/12, 6, 22, 13, , 
2020/5/13, 14, 23, 12, , 
2020/5/14, 9, 26, 12, , 
2020/5/15, 12, 37, 11, , 
2020/5/16, 12, 48, 11, , 
2020/5/17, 14, 45, 21, , 
2020/5/18, 18, 42, 20, , 
2020/5/19, 19, 28, 14, , 
2020/5/20, 17, 39, 10, , 
2020/5/21, 17, 33, 19, , 
2020/5/22, 15, 26, 12, , 
2020/5/23, 13, 29, 6, , 
2020/5/24, 7, 26, 14, , 
2020/5/25, 14, 27, 13, , 
2020/5/26, 14, 35, 14, , 
2020/5/27, 12, 28, 16, , 
2020/5/28, 17, 28, 12, , 
2020/5/29, 11, 27, 12, , 
2020/5/30, 12, 35, 8, , 
2020/5/31, 9, 40, 6, , 
2020/6/1, 10, 36, 18, , 
2020/6/2, 19, 37, 18, , 
2020/6/3, 19, 31, 18, , 
2020/6/4, 13, 28, 15, , 
2020/6/5, 8, 19, 8, , 
2020/6/6, 5, 21, 7, , 
2020/6/7, 6, 27, 11, , 
2020/6/8, 8, 20, 11, , 
2020/6/9, 12, 20, 16, , 
2020/6/10, 23, 28, 8, , 
2020/6/11, 6, 38, 13, , 
2020/6/12, 7, 44, 14, , 
2020/6/13, 18, 30, 6, , 
2020/6/14, 6, 25, 17, , 
2020/6/15, 10, 21, 17, , 
2020/6/16, 11, 26, 14, , 
2020/6/17, 15, 28, 13, , 
2020/6/18, 4, 24, 16, , 
2020/6/19, 9, 21, 13, , 
2020/6/20, 9, 13, 9, , 
2020/6/21, 10, 15, 15, , 
2020/6/22, 14, 38, 16, , 
2020/6/23, 17, 41, 16, , 
2020/6/24, 17, 32, 13, , 
2020/6/25, 15, 39, 16, , 
2020/6/26, 17, 34, 11, , 
2020/6/27, 14, 34, 5, , 
2020/6/28, 11, 17, 12, , 
2020/6/29, 9, 25, 16, , 
2020/6/30, 11, 25, 16, , 
2020/1/1, 142, 2, 20, , 
2020/1/2, 37, 14, 21, , 
2020/1/3, 20, 17, 14, , 
2020/1/4, 12, 17, 15, , 
2020/1/5, 13, 9, 20, , 
2020/1/6, 15, 4, 28, , 
2020/1/7, 17, 3, 24, , 
2020/1/8, 16, 9, 28, , 
2020/1/9, 25, 16, 23, , 
2020/1/10, 23, 15, 17, , 
2020/1/11, 20, 9, 18, , 
2020/1/12, 19, 6, 25, , 
2020/1/13, 18, 10, 29, , 
2020/1/14, 21, 9, 32, , 
2020/1/15, 24, 11, 27, , 
2020/1/16, 23, 11, 27, , 
2020/1/17, 23, 15, 18, , 
2020/1/18, 12, 13, 19, , 
2020/1/19, 14, 10, 17, , 
2020/1/20, 17, 10, 15, , 
2020/1/21, 21, 3, 22, , 
2020/1/22, 32, 5, 20, , 
2020/1/23, 29, 3, 24, , 
2020/1/24, 32, 5, 26, , 
2020/1/25, 33, 6, 21, , 
